,شماره سوره,نوع سوره,predicted,نام سوره
0,1,مکی,مکی,فاتحه
1,2,مدنی,مدنی,بقره
2,3,مدنی,مدنی,آل عمران
3,4,مدنی,مدنی,نساء
4,5,مدنی,مدنی,مائده
5,6,مکی,مدنی,انعام
6,7,مکی,مدنی,اعراف
7,8,مدنی,مدنی,انفال
8,9,مدنی,مدنی,توبه (برائت)
9,10,مکی,مدنی,یونس
10,11,مکی,مدنی,هود
11,12,مکی,مکی,یوسف
12,13,مدنی,مدنی,رعد
13,14,مکی,مدنی,ابراهیم
14,15,مکی,مکی,حِجر
15,16,مکی,مدنی,نحل
16,17,مکی,مدنی,اسراء
17,18,مکی,مکی,کهف
18,19,مکی,مکی,مریم
19,20,مکی,مکی,طه
20,21,مکی,مدنی,انبیاء
21,22,مدنی,مدنی,حج
22,23,مکی,مدنی,مؤمنون
23,24,مدنی,مدنی,نور
24,25,مکی,مدنی,فرقان
25,26,مکی,مکی,شعراء
26,27,مکی,مدنی,نمل
27,28,مکی,مدنی,قصص
28,29,مکی,مدنی,عنکبوت
29,30,مکی,مدنی,روم
30,31,مکی,مدنی,لقمان
31,32,مکی,مدنی,سجدة
32,33,مدنی,مدنی,احزاب
33,34,مکی,مدنی,سبأ
34,35,مکی,مدنی,فاطر
35,36,مکی,مدنی,یس
36,37,مکی,مکی,صافات
37,38,مکی,مکی,ص
38,39,مکی,مدنی,زمر
39,40,مکی,مدنی,غافر
40,41,مکی,مدنی,فصّلت
41,42,مکی,مدنی,شوری
42,43,مکی,مدنی,زخرف
43,44,مکی,مکی,دخان
44,45,مکی,مدنی,جاثیه
45,46,مکی,مدنی,احقاف
46,47,مدنی,مدنی,محمد
47,48,مدنی,مدنی,فتح
48,49,مدنی,مدنی,حجرات
49,50,مکی,مکی,ق
50,51,مکی,مکی,ذاریات
51,52,مکی,مکی,طور
52,53,مکی,مکی,نجم
53,54,مکی,مکی,قمر
54,55,مدنی,مکی,الرحمن
55,56,مکی,مکی,واقعه
56,57,مدنی,مدنی,حدید
57,58,مدنی,مدنی,مجادله
58,59,مدنی,مدنی,حشر
59,60,مدنی,مدنی,ممتحنه
60,61,مدنی,مدنی,صف
61,62,مدنی,مدنی,جمعه
62,63,مدنی,مدنی,منافقون
63,64,مدنی,مدنی,تغابن
64,65,مدنی,مدنی,طلاق
65,66,مدنی,مدنی,تحریم
66,67,مکی,مدنی,مُلک
67,68,مکی,مکی,قلم
68,69,مکی,مکی,حاقه
69,70,مکی,مکی,معارج
70,71,مکی,مدنی,نوح
71,72,مکی,مدنی,جن
72,73,مکی,مکی,مزّمّل
73,74,مکی,مکی,مدثر
74,75,مکی,مکی,قیامه
75,76,مدنی,مکی,انسان
76,77,مکی,مکی,مرسلات
77,78,مکی,مکی,نبأ
78,79,مکی,مکی,نازعات
79,80,مکی,مکی,عبس
80,81,مکی,مکی,تکویر
81,82,مکی,مکی,انفطار
82,83,مکی,مکی,مطففین
83,84,مکی,مکی,انشقاق
84,85,مکی,مکی,بروج
85,86,مکی,مکی,طارق
86,87,مکی,مکی,اعلی
87,88,مکی,مکی,غاشیه
88,89,مکی,مکی,فجر
89,90,مکی,مکی,بلد
90,91,مکی,مکی,شمس
91,92,مکی,مکی,لیل
92,93,مکی,مکی,ضحی
93,94,مکی,مکی,شرح
94,95,مکی,مکی,تین
95,96,مکی,مکی,علق
96,97,مکی,مکی,قدر
97,98,مدنی,مدنی,بینه
98,99,مدنی,مکی,زلزله
99,100,مکی,مکی,عادیات
100,101,مکی,مکی,قارعه
101,102,مکی,مکی,تکاثر
102,103,مکی,مکی,عصر
103,104,مکی,مکی,همزه
104,105,مکی,مکی,فیل
105,106,مکی,مکی,قریش
106,107,مکی,مکی,ماعون
107,108,مکی,مکی,کوثر
108,109,مکی,مدنی,کافرون
109,110,مدنی,مدنی,نصر
110,111,مکی,مکی,مسد
111,112,مکی,مدنی,اخلاص
112,113,مکی,مکی,فلق
113,114,مکی,مدنی,ناس
